Red;Green;Blue;Hex;Ref
0;0;0;0;00
255;111;111;FF6F6F;01
255;55;55;FF3737;02
207;0;0;CF0000;03
181;161;240;B5A1F0;04
148;121;236;9479EC;05
11;55;87;0B3757;06
127;0;7;7F0007;07
95;0;7;5F0007;08
63;0;7;3F0007;09
83;155;55;539B37;0A
61;125;39;3D7D27;0B
27;79;15;1B4F0F;0C
255;255;0;FFFF00;0D
255;0;0;FF0000;0E
0;255;255;00FFFF;0F
14;255;150;0EFF96;10
237;191;148;EDBF94;11
220;151;97;DC9761;12
211;131;71;D38347;13
0;0;0;0;14
10;10;10;0A0A0A;15
21;21;21;151515;16
31;31;31;1F1F1F;17
41;41;41;292929;18
51;51;51;333333;19
62;62;62;3E3E3E;1A
72;72;72;484848;1B
82;82;82;525252;1C
93;93;93;5D5D5D;1D
103;103;103;676767;1E
113;113;113;717171;1F
124;124;124;7C7C7C;20
134;134;134;868686;21
144;144;144;909090;22
154;154;154;9A9A9A;23
165;165;165;A5A5A5;24
175;175;175;AFAFAF;25
185;185;185;B9B9B9;26
196;196;196;C4C4C4;27
206;206;206;CECECE;28
216;216;216;D8D8D8;29
226;226;226;E2E2E2;2A
237;237;237;EDEDED;2B
247;247;247;F7F7F7;2C
0;6;85;655;2D
5;12;96;050C60;2E
10;17;106;0A116A;2F
16;23;117;101775;30
21;28;128;151C80;31
26;34;138;1A228A;32
31;39;149;1F2795;33
36;45;159;242D9F;34
42;51;170;2A33AA;35
47;56;181;2F38B5;36
192;4;2;C00402;37
181;4;2;B50402;38
169;4;2;A90402;39
161;4;2;A10402;3A
152;4;2;980402;3B
140;4;2;8C0402;3C
129;3;2;810302;3D
120;3;2;780302;3E
109;3;2;6D0302;3F
100;3;2;640302;40
89;3;2;590302;41
80;3;2;500302;42
71;2;2;470202;43
60;2;2;3C0202;44
51;2;2;330202;45
52;62;191;343EBF;46
57;67;202;3943CA;47
62;73;213;3E49D5;48
67;78;223;434EDF;49
73;84;234;4954EA;4A
78;89;244;4E59F4;4B
83;95;255;535FFF;4C
253;207;0;FDCF00;4D
251;163;0;FBA300;4E
219;122;4;DB7A04;4F
201;222;201;C9DEC9;50
169;206;169;A9CEA9;51
152;192;152;98C098;52
128;191;128;80BF80;53
145;169;145;91A991;54
127;163;127;7FA37F;55
113;167;113;71A771;56
110;150;110;6E966E;57
83;167;83;53A753;58
97;148;97;619461;59
92;140;92;5C8C5C;5A
55;163;55;37A337;5B
61;148;61;3D943D;5C
88;128;88;588058;5D
68;129;68;448144;5E
38;149;38;269526;5F
53;132;53;358435;60
41;140;41;298C29;61
33;140;33;218C21;62
41;132;41;298429;63
33;132;33;218421;64
41;123;41;297B29;65
54;112;54;367036;66
24;132;24;188418;67
33;123;33;217B21;68
24;123;24;187B18;69
77;86;77;4D564D;6A
36;112;36;247024;6B
16;123;16;107B10;6C
24;115;24;187318;6D
16;115;16;107310;6E
36;99;36;246324;6F
24;107;24;186B18;70
49;86;49;315631;71
16;107;16;106B10;72
24;99;24;186318;73
8;107;8;086B08;74
16;99;16;106310;75
8;99;8;86308;76
16;90;16;105A10;77
28;80;28;1C501C;78
8;90;8;085A08;79
16;82;16;105210;7A
8;82;8;85208;7B
16;74;16;104A10;7C
49;49;49;313131;7D
8;74;8;084A08;7E
5;38;5;52605;7F
249;27;27;F91B1B;80
206;18;20;CE1214;81
162;5;13;A2050D;82
123;2;7;7B0207;83
